"id","Lat","Long"
103050101,54.42,12.926671
103050208,54.39167,12.838331
103050603,54.395001,12.750001
103051008,54.395001,12.623331
103051606,54.335001,12.448331
103059085,54.40167,13.105001
105010285,54.26667,13.516671
105010306,54.15,13.483331
105010701,54.20667,13.653331
105011907,54.20667,13.566671
109016609,54.28667,13.131671
111021001,54.18833,13.775001
111030108,54.01667,13.958331
111032085,54.121,13.773
111034208,54.023358,13.760763
111034806,53.96667,13.891671
111071308,54.20333,13.905002
112190202,54.57,13.131672
112190309,54.55333,13.178332
112280603,54.56333,13.293332
112390909,54.54333,13.426672
112391004,54.50667,13.490002
112391500,54.43167,13.491672
112400185,54.515,13.125002
103070503,54.51167,13.050002
